Date,KRW,DXY,OIL,KOSPI,US10Y,SP500,VIX,KOR_RATE,US_CPI
2015-01-01,1092.699951171875,,,,,,,1.0,234.747
2015-01-02,1093.5999755859375,91.08000183105469,52.689998626708984,1926.43994140625,2.122999906539917,2058.199951171875,17.790000915527344,1.0,234.747
2015-01-05,1111.0,91.37999725341797,50.040000915527344,1915.75,2.0390000343322754,2020.5799560546875,19.920000076293945,1.0,234.747
2015-01-06,1108.5,91.5,47.93000030517578,1882.449951171875,1.9630000591278076,2002.6099853515625,21.1200008392334,1.0,234.747
2015-01-07,1097.300048828125,91.88999938964844,48.650001525878906,1883.8299560546875,1.9539999961853027,2025.9000244140625,19.309999465942383,1.0,234.747
2015-01-08,1097.800048828125,92.37000274658203,48.790000915527344,1904.6500244140625,2.0160000324249268,2062.139892578125,17.010000228881836,1.0,234.747
2015-01-09,1094.300048828125,91.94000244140625,48.36000061035156,1924.699951171875,1.9709999561309814,2044.81005859375,17.549999237060547,1.0,234.747
2015-01-12,1081.800048828125,91.9800033569336,46.06999969482422,1920.949951171875,1.9119999408721924,2028.260009765625,19.600000381469727,1.0,234.747
2015-01-13,1081.4000244140625,92.30999755859375,45.88999938964844,1917.1400146484375,1.8899999856948853,2023.030029296875,20.559999465942383,1.0,234.747
2015-01-14,1077.0999755859375,92.16000366210938,48.47999954223633,1913.6600341796875,1.8370000123977661,2011.27001953125,21.479999542236328,1.0,234.747
2015-01-15,1082.0,92.3499984741211,46.25,1914.1400146484375,1.774999976158142,1992.6700439453125,22.389999389648438,1.0,234.747
2015-01-16,1075.5,92.5199966430664,48.689998626708984,1888.1300048828125,1.815000057220459,2019.4200439453125,20.950000762939453,1.0,234.747
2015-01-19,1078.0,,,1902.6199951171875,,,,1.0,234.747
2015-01-20,1079.0999755859375,93.05000305175781,46.38999938964844,1918.31005859375,1.8070000410079956,2022.550048828125,19.889999389648438,1.0,234.747
2015-01-21,1086.699951171875,92.9000015258789,47.779998779296875,1921.22998046875,1.8530000448226929,2032.1199951171875,18.850000381469727,1.0,234.747
2015-01-22,1081.9000244140625,94.23999786376953,46.310001373291016,1920.8199462890625,1.8960000276565552,2063.14990234375,16.399999618530273,1.0,234.747
2015-01-23,1084.699951171875,95.0,45.59000015258789,1936.0899658203125,1.8170000314712524,2051.820068359375,16.65999984741211,1.0,234.747
2015-01-26,1084.5,94.80000305175781,45.150001525878906,1935.6800537109375,1.8279999494552612,2057.090087890625,15.520000457763672,1.0,234.747
2015-01-27,1079.300048828125,94.0199966430664,46.22999954223633,1952.4000244140625,1.8250000476837158,2029.550048828125,17.219999313354492,1.0,234.747
2015-01-28,1076.699951171875,94.47000122070312,44.45000076293945,1961.5799560546875,1.7239999771118164,2002.1600341796875,20.440000534057617,1.0,234.747
2015-01-29,1084.4000244140625,94.77999877929688,44.529998779296875,1951.02001953125,1.7510000467300415,2021.25,18.760000228881836,1.0,234.747
2015-01-30,1098.800048828125,94.80000305175781,48.2400016784668,1949.260009765625,1.6749999523162842,1994.989990234375,20.969999313354492,1.0,234.747
